37377	46.7	2.3	1.3	3.1	14.3	64	4.3	0.6	4.8	5.9	76.9	6.8	1.5	8.7	10.3	63.6	12.6	1.4	15.5	12.6	83.4	7.9	2.4	8.4	7.6	41	4.1	0.5	4.5	5.6	46.4	9.2	0.9	12.1	8.5
37378	48.5	2.9	1.3	3.7	3.4	57.5	4	0.6	4.4	10.2	72	6.9	1	8.8	7.9	63.5	12.8	1	14.6	9.4	79.9	6.6	2	7.5	13.8	47.7	4.6	0.3	5.1	3	31.8	8	0.5	10	7
37379	67.6	4	3.1	4.4	12.9	72	5.7	0.9	6.2	7	80.8	8.9	2.1	10.8	10.6	74	12.6	0.5	15.5	2.2	74.8	6.7	2	7.7	13.9	38.3	3.4	0.3	3.1	5.8	40.6	5.8	0.2	8.9	13.4
37380	71	4.4	6.3	5.2	24.2	77.7	6.5	1.9	7.2	14.1	39.1	4.9	0	7.7	7.6	77.6	14.4	1	16.4	7.5	86.1	9.5	8.1	9.4	28.9	66.8	5.7	1.7	5.4	29.3	71.9	8.4	1.2	11.6	12.8
37381	68.8	4.1	0.8	4.8	7.1	81	6.8	2.1	8.3	11	68.3	7	1.1	9.8	12.7	59.3	9.7	0.5	12	11.7	85.8	11	7.5	11	23.1	83.6	7.8	3.6	7.9	14.1	83.5	11.2	2.3	14.7	8.7
37382	74.6	4.9	1.1	6.1	3	62.3	6.9	0.7	7.8	5.2	73.4	7.9	1	9.8	7.6	43.3	7.6	0	10.6	8.5	87.6	12.8	4.5	13.1	15.7	51.5	6.7	2	6.2	10.2	85.7	13.2	3.9	16.8	10.4
37383	83.6	6.6	1.9	6.5	3.3	71.3	7.9	0.8	9.1	0.9	57.8	6	0.5	8	5.4	52.3	7.9	0	9.9	0.4	48.6	8.1	0.1	9.3	13.7	23.9	3.2	0	2.9	18	27.4	6.5	0	10.3	9.1
37384	87.4	7.7	4.9	8.4	8.2	75.1	7.9	3.4	9.1	21.9	68.4	6.1	1	9	9.1	65.9	5	2.2	6.2	5	74.1	9.8	1.5	11	20.2	47.4	3.1	1.3	3	11.8	61.5	8.4	0.5	12.5	10.9
37385	28.5	4.9	0.2	4.5	9.7	25.6	4.1	0	5.9	4.1	29.3	3	0	4.9	10.9	9.2	2	0	2.1	5.7	8.8	4.2	0	2.8	12.9	12.9	1.2	0	1.2	3	57.4	7.4	0.7	11	15.4
37386	5.6	1	0	0	3.7	41.8	4.9	0.1	6.8	0.8	32.6	2.1	0	4	1.4	5.6	0.5	0	0	25.1	12.2	1.7	0	1	21.3	21.7	0.3	0	0.2	20.6	36.5	4.1	0.1	5.3	21.3
37387	37	2	0	2	3	71.7	8.7	0.9	10.5	3.3	67.1	5.1	0.8	7.9	6.6	46.6	2	0.2	2.3	13.1	43.1	2.7	0.2	2.7	13.2	52.2	2	0.4	2	6.9	60	5.4	0.7	7.4	9.7
37388	63.8	2.7	0.2	3	8.9	77.4	9.7	1.4	11.7	6.1	74.9	6.2	1	9	2.7	70	3.8	1.1	4.3	12.5	71.5	5.3	0.9	5.1	9.8	70.4	3.1	1.5	3.5	14.5	65.2	5.5	0.7	7.4	9.9
